53 - Despesa em saúde per capita
Despesa em saúde per capita por Município e Ano
Período:2020-2022
"Município";"2020";"2021";"2022";"Total"
"353360 Nuporanga";1220,23;1232,15;1527,51;1326,99
"353370 Ocauçu";1165,39;1588,43;1998,15;1584,73
"353380 Óleo";1417,39;1713,91;2065,64;1730,25
"353390 Olímpia";1045,99;1192,07;1186,37;1141,68
"353400 Onda Verde";1418,70;1623,01;1953,06;1667,39
"353410 Oriente";964,81;1153,85;1461,72;1192,62
"353420 Orindiúva";2110,64;2167,76;2747,37;2342,34
"353430 Orlândia";874,99;773,09;1180,36;942,20
"353440 Osasco";1086,93;1271,20;1314,62;1224,49
"353450 Oscar Bressane";1989,62;2226,23;2615,15;2275,41
"353460 Osvaldo Cruz";544,08;844,34;1048,60;812,14
"353470 Ourinhos";1240,50;1449,96;1639,89;1442,97
"353480 Ouro Verde";1013,88;756,18;1271,19;1013,48
"353475 Ouroeste";1943,33;2271,66;2539,96;2253,51
"353490 Pacaembu";809,37;770,29;1028,40;869,83
"353500 Palestina";1053,76;1269,68;1629,44;1317,95
"353510 Palmares Paulista";939,70;738,75;930,17;869,63
"353520 Palmeira d'Oeste";1036,73;1433,12;1388,52;1285,08
"353530 Palmital";1319,15;1438,06;1762,01;1504,69
"353540 Panorama";1227,80;1066,12;1085,66;1126,66
"353550 Paraguaçu Paulista";966,54;1143,51;1226,36;1111,59
"353560 Paraibuna";848,49;957,80;1212,80;1006,22
"353570 Paraíso";1433,17;1938,84;1487,11;1619,72
"353580 Paranapanema";1168,97;1296,57;1639,26;1369,08
"353590 Paranapuã";1132,14;1558,65;2100,82;1597,55
"353600 Parapuã";923,36;1134,83;1420,38;1158,61
"353610 Pardinho";1099,39;1232,06;1407,68;1247,74
"353620 Pariquera-Açu";700,37;825,01;1045,25;856,84
"353625 Parisi";1627,34;2146,64;2310,11;2032,75
"353630 Patrocínio Paulista";1014,33;1107,61;1262,40;1128,58
"353640 Paulicéia";1423,05;1327,07;1716,95;1490,31
"353650 Paulínia";3659,00;4200,45;4339,96;4071,00
"353657 Paulistânia";2320,26;2572,66;3117,80;2673,22
"353660 Paulo de Faria";1531,37;1866,63;2217,99;1867,90
